"Timestamp","slot_num"
"02:38:04","6"
"02:37:55","6"
"02:37:21","6"
"02:36:32","6"
"02:35:45","6"
"02:34:52","6"
"02:34:01","6"
"02:33:10","6"
"02:32:39","6"
"02:32:00","4"
"02:31:43","6"
"02:30:53","5"
"02:30:10","5"
"02:29:33","5"
"02:28:56","5"
"02:28:03","5"
"02:27:22","5"
"02:26:44","5"
"02:26:00","4"
"02:25:32","5"
"02:24:47","5"
"02:23:57","5"
"02:23:10","5"
"01:40:19","4"
"01:39:59","4"
"01:39:22","4"
"01:38:32","4"
"01:37:44","4"
"01:37:11","4"
"01:36:22","4"
"01:35:10","4"
"01:34:59","4"
"01:34:22","4"
"01:34:03","4"
"01:33:44","4"
"01:33:08","4"
"01:32:53","4"
"01:30:22","3"
"01:30:00","2"
"01:30:00","4"
"01:29:54","3"
"01:29:02","3"
"01:28:52","3"
"01:28:09","3"
"01:27:43","3"
"01:26:55","3"
"01:26:04","3"
"01:25:49","3"
"01:25:10","3"
"01:24:40","3"
"01:24:04","3"
"01:23:44","3"
"01:22:24","3"
"18:55:29","38"
"18:54:26","38"
"17:38:03","36"
"17:32:30","36"
"17:08:43","35"
"17:08:05","35"
"16:56:31","34"
"14:09:26","29"
"14:07:06","29"
"14:06:08","29"
"11:38:52","24"
"11:24:27","23"
"11:04:22","23"
"10:55:38","22"
"09:23:56","19"
"09:16:25","19"
"09:12:46","19"
"09:03:49","19"
"08:23:04","17"
"08:18:23","17"
"08:18:21","17"
"07:16:45","15"
"07:16:17","15"
"07:15:45","15"
"06:40:19","14"
"06:02:52","13"
"02:41:02","6"
"10:45:13","22"
"10:46:00","20"
"16:24:22","33"
"14:42:40","30"
"11:38:10","24"
"16:40:42","34"
"16:39:50","34"
"12:50:11","26"
"15:30:22","31"
"14:30:17","29"
"14:29:40","29"
"07:20:18","15"
"12:49:28","26"
"12:48:18","26"
"12:47:54","26"
"11:44:34","24"
"11:43:22","24"
"11:42:14","24"
"11:02:01","23"
"22:27:27","45"
"22:26:39","45"
"22:25:21","45"
"20:59:53","42"
"20:59:29","42"
"19:47:28","40"
"19:44:42","40"
"19:44:18","40"
"19:08:39","39"
"18:18:01","37"
"18:17:40","37"
"16:10:25","33"
"16:01:39","33"
"15:50:28","32"
"15:44:12","32"
"15:41:43","32"
"15:41:08","32"
"15:40:46","32"
"15:03:47","31"
"15:02:00","30"
"14:48:32","30"
"14:48:08","30"
"14:28:16","29"
"14:23:15","29"
"14:21:40","29"
"14:21:30","29"
"14:21:09","29"
"14:20:52","29"
"14:20:43","29"
"14:20:26","29"
"14:20:14","29"
"14:20:06","29"
"14:19:54","29"
"14:19:19","29"
"14:17:40","29"
"14:17:22","29"
"14:17:06","29"
"14:16:55","29"
"14:16:45","29"
"14:15:58","29"
"14:13:57","29"
"09:51:18","20"
"09:50:57","20"
"03:06:20","7"
"02:54:08","6"
"02:43:29","6"
"02:26:48","5"
"02:21:33","5"
"02:20:37","5"
"02:17:20","5"
"02:16:26","5"
"02:11:38","5"
"02:09:57","5"
"02:08:35","5"
"02:08:10","5"
"02:04:03","5"
"02:03:42","5"
"01:59:25","4"
"01:58:56","4"
"01:56:22","4"
"01:56:08","4"
"01:54:36","4"
"01:54:11","4"
"01:53:37","4"
"01:53:03","4"
"01:50:00","2"
"01:49:08","4"
"01:47:58","4"
"01:35:35","4"
"01:33:23","4"
"01:24:25","3"
"00:54:29","2"
"00:54:01","2"
"00:32:05","2"
"20:24:10","41"
"18:40:55","38"
"20:25:12","41"
"20:18:17","41"
"04:13:09","9"
"16:22:26","33"
"20:28:24","41"
"20:39:15","42"
"17:02:46","35"
"19:12:25","39"
"03:04:19","7"
"19:10:02","39"
"18:02:18","37"
"15:04:18","31"
"05:05:10","11"
"05:04:14","11"
"06:14:37","13"
"06:14:00","12"
"04:06:19","9"
"13:04:16","27"
"13:03:57","27"
"17:10:29","35"
"21:14:39","43"
"21:09:46","43"
"21:08:17","43"
"18:09:37","37"
"21:07:54","43"
"18:08:26","37"
"18:07:40","37"
"19:11:20","39"
"18:06:22","37"
"03:13:43","7"
"20:10:12","41"
"04:14:06","9"
"07:14:35","15"
"20:12:24","41"
"20:11:57","41"
"01:17:22","3"
"06:12:32","13"
"04:12:19","9"
"04:11:36","9"
"04:10:54","9"
"18:05:53","37"
"19:10:22","39"
"19:09:26","39"
"00:23:54","1"
"05:03:21","11"
"19:08:37","39"
"20:10:54","41"
"20:10:00","40"
"19:08:46","39"
"17:26:20","35"
"15:23:32","31"
"19:07:21","39"
"15:22:18","31"
"15:21:43","31"
"15:20:48","31"
"15:19:57","31"
"15:19:00","30"
"15:18:43","31"
"15:17:56","31"
"15:17:03","31"
"15:16:22","31"
"16:15:43","33"
"15:15:21","31"
