created_at,screen_name,text
2019-03-25 04:14:30,jeanettejoy,Give & be #joyful! 
2019-03-25 04:15:00,jeanettejoy,Buen amigo!
2019-03-25 04:15:42,jeanettejoy,Hope you had a great weekend! I got to spend part of today with my grandson.
2019-03-25 05:16:10,jeanettejoy,We #love our #Coffee! #coffeelovers #FamilyTRAIN #JoyTrain #StarfishClub #GoldenHearts
2019-03-25 05:17:30,jeanettejoy,Be #BlessedAndGrateful everyone! #FamilyTRAIN #JoyTrain #StarfishClub #GoldenHearts
2019-03-25 05:18:02,jeanettejoy,#ShineOn...be the beacon that guides others! #FamilyTRAIN #JoyTrain #StarfishClub #GoldenHearts
2019-03-25 05:18:30,jeanettejoy,Super cute
2019-03-25 05:19:10,jeanettejoy,One of my fav #rumi quotes THANK YOU for sharing
2019-03-25 05:19:40,jeanettejoy,just like you inspire them 
2019-03-25 05:21:10,jeanettejoy,"Thank you, wonderful #BabyGo #supergirlbabygo #KindnessMatters"
2019-03-25 05:21:32,jeanettejoy,Very wise
2019-03-25 05:22:18,jeanettejoy,I love my friends! #Gerryisthebest #BabyGo #supergirlbabygo #GoldenHeart
2019-03-25 05:22:40,jeanettejoy,"Beautiful. Thank you for including me. I love this message and the photo. I took a couple days off of twitter and am just seeing this now. Gorgeous all around, Marlena! #gratitude #beauty"
2019-03-25 05:23:04,jeanettejoy,Adding to my list!
2019-03-25 05:24:10,jeanettejoy,"No, I didn't like the ending either went through a box of tissues Blindspotting don’t know that one... I’ll look it up"
2019-03-25 05:24:29,jeanettejoy,"Good point, Neville. Seasonal movies add the extra #kindness."
2019-03-25 05:26:10,jeanettejoy,Oh yes that’s another of my favourites... I have the song downloaded too
2019-03-25 05:26:37,jeanettejoy,"Happy day, Adam and all! Agree with the quote!! Today's beauty."
2019-03-25 05:27:04,jeanettejoy,That makes it extra special. 
2019-03-25 05:27:10,jeanettejoy,A favorite! 
2019-03-25 05:28:08,jeanettejoy,"Your favorite #KindnessMatters movie, Rodrigo?"
2019-03-25 06:28:49,jeanettejoy,Good morning... a new day a new set of opportunities await 
2019-03-25 06:29:06,jeanettejoy,And David Niven too #GoldenHearts
2019-03-25 06:30:10,jeanettejoy,"I want to see that movie, Brian!"
